qi,qioutzbar,qioutN
0.1,90.28040532,1000
0.11,89.44739342,1000
0.12,88.56813682,1000
0.13,87.67929238,1000
0.14,86.81400486,1000
0.15,85.99243192,1000
0.16,85.21999437,1000
0.17,84.49223465,1000
0.18,83.80119288,1000
0.19,83.13951269,1000
0.2,82.50170794,1000
0.21,81.88380808,1000
0.22,81.28259504,1000
0.23,80.69497867,1000
0.24,80.11755689,1000
0.25,79.54621513,1000
0.26,78.97556572,1000
0.27,78.3979282,1000
0.28,77.80122964,1000.000006
0.29,77.16425129,1000.000196
0.3,76.44454535,1000.005278
0.31,75.54201384,1000.12459
0.32,74.15350733,1002.516774
0.33,70.83802933,1038.493645
0.34,60.60291457,1224.335064
0.35,47.81654632,1440.086826
0.36,37.01081421,1637.123618
0.37,27.78926263,1829.518926
0.38,19.68265728,2021.340208
0.39,12.398411,2213.677973
0.4,5.847104988,2400.156145
0.41,1.902758529,2531.355384
0.42,1.180450665,2812.849461
0.43,1.024180476,1273.191058
0.44,1.024180476,0
0.45,1.024180476,0
0.46,1.024180476,0
0.47,1.024180476,0
0.48,1.024180476,0
0.49,1.024180476,0
0.5,1.024180476,0
0.51,1.024180476,0
0.52,1.024180476,0
0.53,1.024180476,0
0.54,1.024180476,0
0.55,1.024180476,0
0.56,1.024180476,0
0.57,1.024180476,0
0.58,1.024180476,0
0.59,1.024180476,0
0.6,1.024180476,0
0.61,1.024180476,0
0.62,1.024180476,0
0.63,1.024180476,0
0.64,1.024180476,0
0.65,1.024180476,0
0.66,1.024180476,0
0.67,1.024180476,0
0.68,1.024180476,0
0.69,1.024180476,0
0.7,1.024180476,0
0.71,1.024180476,0
0.72,1.024180476,0
0.73,1.024180476,0
0.74,1.024180476,0
0.75,1.024180476,0
0.76,1.024180476,0
0.77,1.024180476,0
0.78,1.024180476,0
0.79,1.024180476,0
0.8,1.024180476,0
0.81,1.024180476,0
0.82,1.024180476,0
0.83,1.024180476,0
0.84,1.024180476,0
0.85,1.024180476,0
0.86,1.024180476,0
0.87,1.024180476,0
0.88,1.024180476,0
0.89,1.024180476,0
0.9,1.024180476,0
0.91,1.024180476,0
0.92,1.024180476,0
0.93,1.024180476,0
0.94,1.024180476,0
0.95,1.024180476,0
0.96,1.024180476,0
0.97,1.024180476,0
0.98,1.024180476,0
0.99,1.024180476,0
1,1.024180476,0
